name,phone,street,city,country,website,description
1923 Autos,+33 (0)7 85 40 02 15,, 59000 Lille, France,http://www.1923autos.fr,"Afin de vous garantir le meilleur, 1923 Autos met à votre service ses compétences pour vous dénicher votre automobile. Nous achetons et vendons une large gamme de véhicule de collection de sport et prestige mais l'accent est mis sur les marques MG, Triumph, Austin Healey, Jaguar, Porsche. L'Equipe 1923 Autos est à votre disposition pour vous fournir tous les renseignements par téléphone, e-mail ou dans nos bureaux sur rendez-vous."
A.V.I.L,05 58 05 39 34,1541 Rue Ferme Larrouquere, 40000 Mont de Marsan, France,http://www.avil-auto.fr/accueil,Vente de véhicules de collection
AB Motors Albi,05 63 76 82 15,15B Rue Pasteur, 81990 Puygouzon, France,http://abmotors-albi.fr,"L'histoire d'AB MotorsL’automobile à toujours eu une place importante dans la vie d’Adrien, et ce depuis son plus jeune âge. Sa passion pour l’auto l’a amené à se tourner vers la vente. Il a commencé dans le métier au bas de l’échelle en tant que stagiaire durant son BTS, poste qui lui a permis de… > lire la suite prendre connaissance du métier. En 10 ans il est passé du statut de commercial à celui de chef des ventes à seulement 30 ans. Au cours de ces dernières années, les nombreuses rencontres ont permis à Adrien de se créer un réseau professionnel sur lequel il peut désormais compter pour vous offrir un service de qualité.En 2020, fort de son expérience, il décide de se lancer dans l’aventure AB Motors, société qui se veut sérieuse, dynamique et proche de ses clients. AB Motors vous propose des véhicules neufs et d’occasions divers et variés qui sauront satisfaire aussi bien vos besoins les plus classiques que vos demandes les plus atypiques. Chaque véhicule est sélectionné avec rigueur et le plus grand soin est apporté à sa préparation mécanique et esthétique.AB Motors vous propose également une recherche personnalisée dans le respect de vos critères et de votre budget. Tous les véhicules sont garantis de 6 à 12 mois pour plus de tranquillité.N’hésitez pas à faire confiance à AB Motors pour votre prochain véhicule, Adrien se fera un plaisir de vous recevoir dans son showroom de 400m² situé à Puygouzon."
AC Youngtimer,06 13 24 04 78,Voie du C.A.E.P.E., 33160 Saint-Médard-en-Jalles, France,http://www.ac-youngtimer.fr,"Notre showroom est à votre disposition pour venir voir nos véhicules. Vous avez un projet d’achat, une de nos voitures vous intéresse, alors passez-nous voir, nous partagerons la passion des véhicules de collection, dans un univers décontracté et convivial.​Nos véhicules pourront être vus sous toutes ""les coutures"" et si vous le désirez une mise sur… > lire la suite le pont permettra de voir l'état du châssis de la voiture. Un essai routier, contribuera à vous forger une opinion complète.​Alors n'hésitez plus venez découvrir votre voiture de collection."
AEH,06 09 51 85 52 ,560 Avenue de la Plaine, 06250 Mougins, France,http://pros.lacentrale.fr/C046270/cat-AUTO/,"Achat, vente, réparation, équipement de véhicules"
Aguttes,+33 (0)4 37 24 24 23,, 92200 Neuilly-sur-Seine, France,http://www.aguttes.com,AGUTTES Maison de ventes aux enchèresAUTOMOBILES DE COLLECTION - LA VENTE DE PRINTEMPSDimanche 2 avril 2023 à 15h - Espace Champerret -… > lire la suite ParisExposition publique :Vendredi 31 mars : 12h - 20hSamedi 1er avril : 10h - 19hDimanche 2 avril : 9h - 12h
Alsace Classic Cars,06 95 94 25 94 ,53 rue d'Ensisheim, 68840 Pulversheim, France,http://www.aguttes.com,"Importation de voiture de collections américaines et du monde entier. 
Achat, vente, dépôt-vente, recherche, 
Carrosserie, peinture, pneu, pare-brise, nettoyage, pièces détachés.… > lire la suite 
Atelier de sellerie, cuir, tissu, velours, ect.."
Alternative Cars,06 07 52 45 33,le bourg, 24460 Saint Front d\'Alemps, France,http://www.alternativecars.fr,"Spécialisé dans les véhicule américainFord, Ac cobra et réplique, Chevrolet...Renseignements sur demande"
Americaine import,06 20 35 37 24,, 73000 Bassens, France,http://americaineimport.fr,"Spécialisés dans la vente le courtage automobile, nous vous trouvons la voiture ou la moto de vos rêves, peu importe l'année.Nous effectuons l'achat, l'expertise, le transport maritime, le dédouanement, la TVA, et la livraison à votre domicile si besoin."
American Car City Classics,01 70 61 02 00,17 Rue Panhard, 91830 Le Coudray-Montceaux, France,http://www.americancarcity.fr/annonces-voiture-americaine-collection,"Les amoureux de voitures américaines anciennes trouveront désormais leur bonheur dans le showroom American Car City Classics, situé juste en face de la concession American Car City du Coudray-Montceaux (91). Olivier Toutin, authentique passionné, vous accueille du lundi au vendredi de 9h à 18h30 et le samedi de 10h à 18h. Il vous fera partager l’histoire de chaque véhicule exposé, qu’il a scrupuleusement sélectionné, inspecté et conduit afin de proposer à l’acheteur une voiture parfaitement… > lire la suite saine et fonctionnelle. Dans un souci de qualité, chaque voiture américaine de collection est vendue entièrement révisée. Certains véhicules peuvent être garantis 1 an."
American Car Collection,+33 5 34 25 15 15,6 Impasse Gaston Monnerville, 31470 TOULOUSE, France,http://www.americancarcollection.com,"VENTESpécialiste de la voiture américaine de collection, nous vous proposons un stock de véhicules import homologués et disponibles à la vente dans notre showroom en France. Reprise et financement possibles.ENTRETIENNous faisons bien plus que vous… > lire la suite vendre la voiture de vos rêves. American Car Collection c'est aussi un atelier spécialisé équipé de tous les outils adaptés à l'entretien de votre auto.RÉPARATIONToutes les pièces standards et spécifiques pour votre voiture américaine sont disponibles en stock ou sur commande dans les meilleurs délais."
